Symbol,Min_During_High,Max_During_High,Avg_During_High,Min_During_Close,Max_During_Close,Avg_During_Close,Min_After_High,Max_After_High,Avg_After_High,Min_After_Close,Max_After_Close,Avg_After_Close,Num_Increases_During_High,Num_Increases_During_Close,Num_Increases_After_High,Num_Increases_After_Close,Consistency_During_High,Consistency_During_Close,Consistency_After_High,Consistency_After_Close
FELE,0.279520530694496,5.53764393828528,2.01914577226882,0.0139685624175009,4.39788126638459,2.31180101665303,0.44712520886233,8.65760602144204,2.79464904790544,0.322351246636917,8.5885321575551,3.02069490108992,5,3,5,4,1.0,0.6,1.0,0.8
KMB,0.137438892061256,2.54656655958625,1.5287759824425,0.676103843251743,1.88557241790832,1.28083813058003,0.652791144305139,2.79773561404306,2.04749450702802,0.349714200065922,2.18377509441559,1.48908708375328,5,2,4,4,1.0,0.4,0.8,0.8
MSA,0.225907195485746,4.35077373798093,1.87536527139437,0.491685208287602,3.80923227163446,1.97393767068833,0.634855197131477,4.23999962439878,2.09607368410385,0.0983348981172234,4.06769268329353,1.81699499577396,4,3,4,3,0.8,0.6,0.8,0.6
PII,2.41635590049748,4.07483715354887,3.06229259055434,1.36671770447482,3.80147332175414,2.40695439563412,0.0159006383009931,5.20588468095562,2.40960298194412,2.18674832715972,5.193516514898,3.69013242102886,3,3,5,2,0.6,0.6,1.0,0.4
PPG,0.201651403069493,1.7718150845047,0.940795395430509,0.0913854162971242,1.75391416955078,0.922649792923952,0.638549956029835,4.43720507191661,2.7287823469861,0.201651403069493,3.59164494026379,2.32982421830431,4,2,4,4,0.8,0.4,0.8,0.8
ROP,0.828566778273896,3.2399105436035,1.71280653469449,0.720005580357143,2.87912164674326,1.56802308531637,1.52952938988095,3.44061212780056,2.62645652937614,0.896535015009429,3.17805307018096,2.07996681505156,5,4,4,4,1.0,0.8,0.8,0.8
RPM,0.0307915953115207,3.82466394851918,2.30172515967883,0.406101587708272,3.67564774536365,2.227766587053,0.699400366431069,4.80566596950815,2.85614053908127,0.627570807380405,4.54489471946971,2.39096830268564,5,3,4,3,1.0,0.6,0.8,0.6
SYK,0.561507479820458,1.13343601594948,0.89841518955426,0.123847737970883,0.485698107812887,0.354579388905045,0.195723166502676,1.84731494022919,0.719512853992839,0.0409207020605404,1.72277550209639,0.667116749232562,5,3,4,3,1.0,0.6,0.8,0.6
TGT,0.138419729404853,7.01856336499986,7.66824324519004,10.2076124567474,4.86527412050582,7.53644328862661,10.8096852022062,3.58494069514449,7.49064828746994,11.7698260588674,8.5259566257571,7.44616536817844,3,2,4,3,0.6,0.4,0.8,0.6
UMBF,0.0734903956912747,1.69155386582553,1.02074067032757,0.583773417215088,0.792914614298676,0.688344015756882,0.145951705217598,1.308319700172,0.773898080502303,0.128197792836167,0.687200059526766,0.407698926181467,5,2,4,2,1.0,0.4,0.8,0.4
WST,3.08581641717193,6.80086210753064,4.97656167206262,2.07799073850758,5.71604377762621,3.70217003316965,1.804379672741,5.2028251362438,3.3052384389165,0.936703406417175,3.90903548226572,2.17967213972534,4,3,4,4,0.8,0.6,0.8,0.8
