Symbol,Increase_Num,During_High_Increase,During_Close_Increase,After_High_Increase,After_Close_Increase
KMB,3,1.40660003139997,0.676103843251743,0.652791144305139,0.349714200065922
KMB,4,1.54631208955283,,2.65965868161868,1.73960110074694
KMB,5,2.54656655958625,,2.79773561404306,2.18377509441559
MSA,1,,,0.634855197131477,
MSA,2,0.590020106404825,0.491685208287602,1.25026258365103,0.0983348981172234
MSA,3,2.33476004570598,1.62089553214292,2.25917733123412,1.28495740591112
MSA,4,4.35077373798093,3.80923227163446,4.23999962439878,4.06769268329353
MSA,5,0.225907195485746,,,
PII,1,2.41635590049748,1.36671770447482,2.67877170584036,2.18674832715972
PII,2,,,0.243477199388698,
PII,3,4.07483715354887,3.80147332175414,3.90398068523493,
PII,4,,,0.0159006383009931,
PII,5,2.69568471761667,2.0526721606734,5.20588468095562,5.193516514898
PPG,1,0.201651403069493,,0.638549956029835,0.201651403069493
PPG,2,1.52775472219549,,,
PPG,3,,,4.43720507191661,3.59164494026379
PPG,4,0.261960371952353,0.0913854162971242,2.10783237436483,1.95553264284144
PPG,5,1.7718150845047,1.75391416955078,3.73154198563311,3.57046788704251
ROP,1,0.828566778273896,0.720005580357143,1.52952938988095,1.24190848214286
ROP,2,0.996656170079141,0.955699409598998,2.25726748132534,0.896535015009429
ROP,3,1.46661440590913,,,
ROP,4,3.2399105436035,2.87912164674326,3.44061212780056,3.00337069287298
ROP,5,2.0322847756068,1.71726570456609,3.27841711849772,3.17805307018096
RPM,1,0.79717045112649,0.406101587708272,0.699400366431069,
RPM,2,0.0307915953115207,,,
RPM,3,3.47854760685205,,2.6561450327666,2.00043938120681
RPM,4,3.82466394851918,3.67564774536365,4.80566596950815,4.54489471946971
RPM,5,3.37745219658493,2.60155042808707,3.26335078761926,0.627570807380405
SYK,1,0.87698581328469,0.123847737970883,0.532216347411221,0.237654043540757
SYK,2,1.13343601594948,0.454192320931364,0.302796961828268,0.0409207020605404
SYK,3,1.118947776389,,0.195723166502676,
SYK,4,0.801198862327671,0.485698107812887,1.84731494022919,1.72277550209639
SYK,5,0.561507479820458,,,
TGT,1,15.8477466411654,10.2076124567474,10.8096852022062,8.5259566257571
TGT,2,,,3.45751122174085,
TGT,3,7.01856336499986,4.86527412050582,3.58494069514449,2.04271341991083
TGT,4,0.138419729404853,,,
TGT,5,,,12.1104560307882,11.7698260588674
UMBF,1,0.937429549897013,,1.06562122992559,0.128197792836167
UMBF,2,1.69155386582553,0.792914614298676,1.308319700172,0.687200059526766
UMBF,3,0.0734903956912747,,0.575699686694026,
UMBF,4,0.970985224774622,,,
UMBF,5,1.43024431544942,0.583773417215088,0.145951705217598,
WST,1,6.80086210753064,5.71604377762621,5.2028251362438,3.90903548226572
WST,2,,,2.14676499698159,1.96367754801074
WST,3,6.75837430997246,3.31247558337516,4.06698394969961,1.90927212220773
WST,4,3.26119385357546,2.07799073850758,1.804379672741,0.936703406417175
WST,5,3.08581641717193,,,
